short_name pop1 pop2 longitude latitude num bio3 prec7 tmax10
H2-0419 -0.049700484 -0.022096836 33.46838 3.40943 47 77 138 297
H2-0423 0.03124081 0.016006463 33.48622 3.55361 48 76 126 296
H2-0424 0.029695693 -0.000869467 33.48622 3.55361 49 76 126 296
H2-0426 0.037601999 0.008591498 33.48641 3.35978 50 77 140 299
H2-0428 -0.01438591 0.007854533 33.48641 3.35978 51 77 140 299
H3-0453 0.045684583 0.007094687 33.656794 2.70009 52 79 154 298
H3-0455 0.038483961 0.00907301 33.75225 2.82619 53 79 149 298
H3-0456 0.033660016 0.011428383 33.75225 2.82619 54 79 149 298
H3-0457 0.041741279 0.002106684 33.75225 2.82619 55 79 149 298
H3-0458 0.039076957 0.003115722 33.73854 2.81939 56 80 150 298
H3-0459 0.034512762 0.009871565 33.73854 2.81939 57 80 150 298
H4-0863 0.03986645 0.010512387 33.47195 2.14746 58 79 142 302
H4-0866 0.035769358 0.009131937 33.47195 2.14746 59 79 142 302
H4-0868 0.038087829 0.012319454 33.67712 2.28745 60 79 137 304
H4-0869 0.037557158 0.008510841 33.67712 2.28745 61 79 137 304
H4-0870 0.038970654 0.006310047 33.67712 2.28745 62 79 137 304
H4-0873 0.040235374 0.009590767 33.52712 2.47919 63 79 152 303
H4-0874 0.04169923 0.011080144 33.52712 2.47919 64 79 152 303
H4-0875 0.036811634 0.001109536 33.52712 2.47919 65 79 152 303
H4-0877 0.034621897 0.006026102 33.52712 2.47919 66 79 152 303
H6-0811 0.027438137 0.004458585 33.72608 0.84916 67 82 92 290
H6-0812 0.036069468 0.008979468 33.72608 0.84916 68 82 92 290
H6-0813 0.03184894 0.007319875 33.72608 0.84916 69 82 92 290
H6-0814 0.028794134 0.01276286 33.72608 0.84916 70 82 92 290
H6-0815 0.030464667 0.010043719 33.72608 0.84916 71 82 92 290
H6-0820 0.03336323 0.009239577 33.73819 0.78147 72 82 87 291
H7-0057 0.030839968 0.011600826 33.42077 0.65176 73 84 77 288
H7-0062 0.024772369 0.010805586 33.5566 0.44152 74 84 67 280
H7-0063 0.023992761 0.011661857 33.5566 0.44152 75 84 67 280
H7-0068 0.017700534 0.012908068 33.68813 0.47944 76 85 70 285
H7-0070 0.029689542 0.005408724 33.68813 0.47944 77 85 70 285
H7-0071 0.035250451 0.017466932 33.68813 0.47944 78 85 70 285
H7-0072 0.031329491 0.01115711 33.68091 0.52474 79 83 75 285
H7-0073 0.02933282 0.012663649 33.68091 0.52474 80 83 75 285
I3-0484 0.035286214 -0.000383355 33.99299 2.99355 81 80 126 294
I4-0882 0.041803911 0.011872198 33.96431 2.12029 82 80 121 301
I4-0887 0.042115776 0.015307803 33.97197 2.14746 83 80 120 304
I6-0023 0.027186392 0.008924999 33.96317 0.94494 84 80 90 293
I6-0827 0.015207496 -0.002788187 33.95186 1.01682 85 80 101 289
I7-0009 0.033131943 0.00867742 34.12545 0.59888 86 84 84 291
I7-0018 0.034952952 0.009832721 34.10406 0.72644 87 83 89 288
I7-0020 0.029915563 0.017827009 34.10406 0.72644 88 83 89 288
J4-0916 0.037796009 0.00178026 34.68632 2.04746 89 83 121 288
J5-0918 0.036812514 0.010852349 34.59608 1.93608 90 83 127 296
J5-0919 0.034110653 0.00880839 34.59608 1.93608 91 83 127 296
J5-0920 0.037924964 0.011269452 34.59608 1.93608 92 83 127 296
J5-0923 0.03604166 0.015813347 34.62992 1.86651 93 83 133 294
J5-0924 0.043946711 0.011651332 34.62992 1.86651 94 83 133 294
B10-0225 -0.042723351 0.004865727 30.09057 -1.28401 95 87 14 240
B10-0226 -0.046005706 0.009938653 30.09057 -1.28401 96 87 14 240
B10-0228 -0.045969602 0.00811247 30.09057 -1.28401 97 87 14 240
B10-0229 -0.05085929 0.004691682 29.97195 -1.42515 98 89 12 232
B10-0231 -0.044453429 0.007795883 29.97195 -1.42515 99 89 12 232
B10-0232 -0.046073148 0.012118482 29.97195 -1.42515 100 89 12 232
B10-0233 -0.046488166 -0.005491972 29.98299 -1.41958 101 89 11 236
B10-0234 -0.043244427 0.012214095 29.98299 -1.41958 102 89 11 236
B10-0236 -0.043287118 0.010291145 29.98299 -1.41958 103 89 11 236
B10-0237 -0.039779691 0.010694973 29.94839 -1.39844 104 88 17 210
B10-0238 -0.039803486 0.010761905 29.94839 -1.39844 105 88 17 210
B10-0239 -0.045850506 0.012340288 29.94839 -1.39844 106 88 17 210
B10-0240 -0.040561977 0.01287737 29.94839 -1.39844 107 88 17 210
B10-0241 -0.040360058 0.010602385 29.94839 -1.39844 108 88 17 210
B7-0089 -0.030755928 -0.004094938 30.10559 0.19685 109 85 47 291
B7-0090 -0.048312839 0.015977203 30.10559 0.19685 110 85 47 291
B7-0091 -0.025046906 -0.009882358 30.10559 0.19685 111 85 47 291
B8-0092 -0.034346068 0.015377816 29.90616 0.00544 112 88 38 282
B8-0093 -0.039756447 0.014330987 29.90616 0.00544 113 88 38 282
B8-0094 -0.050687419 0.009728357 29.90616 0.00544 114 88 38 282
B8-0095 -0.045619824 0.018833613 29.90616 0.00544 115 88 38 282
B8-0096 -0.044686254 0.011112491 29.91862 0.00937 116 88 39 280
B8-0097 -0.045785353 0.011900456 29.91862 0.00937 117 88 39 280
B8-0098 -0.0495992 0.016660962 29.91862 0.00937 118 88 39 280
B8-0099 -0.038595513 -0.055520861 29.91862 0.00937 119 88 39 280
B8-0100 -0.048765833 0.010972012 29.83887 0.10449 120 86 58 216
B8-0101 -0.051915099 0.016584469 29.83887 0.10449 121 86 58 216
B8-0102 -0.046266106 0.015040169 29.83887 0.10449 122 86 58 216
B8-0103 -0.037675857 0.015401977 29.83887 0.10449 123 86 58 216
B8-0104 -0.041547008 0.019658505 29.8374 0.10335 124 86 58 216
B8-0105 -0.028801879 0.012179627 29.8374 0.10335 125 86 58 216
B8-0107 -0.039984232 0.015233248 29.8374 0.10335 126 86 58 216
B8-0108 -0.052992497 0.010093775 30.04338 0.09478 127 86 41 288
B8-0109 -0.044130899 0.01899021 30.04338 0.09478 128 86 41 288
B8-0110 -0.044628348 0.014478039 30.04338 0.09478 129 86 41 288
B8-0111 -0.038049425 0.017066444 30.04338 0.09478 130 86 41 288
B8-0112 -0.036657212 0.015510777 30.05218 0.05945 131 85 39 292
B8-0113 -0.049020878 0.011829753 30.05218 0.05945 132 85 39 292
B9-0242 -0.053011193 -0.003754386 30.00819 -0.91676 133 90 27 262
B9-0243 -0.051482716 -0.015259072 30.00819 -0.91676 134 90 27 262
B9-0244 -0.054009472 0.015836035 30.00819 -0.91676 135 90 27 262
B9-0246 -0.049397374 -0.004249473 30.00819 -0.91676 136 90 27 262
B9-0247 -0.045433721 0.011137966 30.00819 -0.91676 137 90 27 262
B9-0248 -0.047084416 0.0173866 30.00819 -0.91676 138 90 27 262
B9-0249 -0.04953574 0.010363537 30.00819 -0.91676 139 90 27 262
B9-0250 -0.052360242 -0.032070352 30.030402 -0.97812 140 89 27 244
B9-0251 -0.050023711 -0.016315405 30.030402 -0.97812 141 89 27 244
B9-0253 -0.053733393 0.007174929 30.030402 -0.97812 142 89 27 244
B9-0254 -0.046369416 0.00512984 30.01802 -0.87998 143 90 30 256
B9-0255 -0.047255514 -0.000642378 30.01802 -0.87998 144 90 30 256
B9-0256 -0.044502396 0.011377548 30.01802 -0.87998 145 90 30 256
C10-0209 -0.053103119 -0.008170061 30.22658 -1.22172 146 89 14 254
C10-0210 -0.049582539 0.014653873 30.22658 -1.22172 147 89 14 254
C10-0211 -0.045427507 0.012116535 30.22658 -1.22172 148 89 14 254
C10-0213 -0.048475743 0.010594047 30.23534 -1.32242 149 88 12 262
C10-0214 -0.054851369 -0.03391101 30.23534 -1.32242 150 88 12 262
C10-0216 -0.041962847 0.010724734 30.23534 -1.32242 151 88 12 262
C10-0217 -0.032050953 -0.029123453 30.25736 -1.20433 152 87 14 259
C10-0218 -0.034367403 0.009113149 30.25736 -1.20433 153 87 14 259
C10-0219 -0.053176535 0.011458145 30.25736 -1.20433 154 87 14 259
C10-0220 -0.053761401 -0.01412849 30.25736 -1.20433 155 87 14 259
C10-0221 -0.049042325 0.018600041 30.21516 -1.21719 156 89 14 255
C10-0222 -0.029546112 0.015597749 30.21516 -1.21719 157 89 14 255
C10-0223 -0.041028926 0.005584926 30.21516 -1.21719 158 89 14 255
C6-0728 0.006523107 -0.176846433 30.23459 0.86187 159 85 95 286
C6-0729 0.005531958 -0.220889063 30.23459 0.86187 160 85 95 286
C6-0733 -0.000950242 -0.17021572 30.23459 0.86187 161 85 95 286
C6-0734 -0.001000324 -0.234098738 30.23459 0.86187 162 85 95 286
C6-0735 -0.008771312 -0.161727186 30.23459 0.86187 163 85 95 286
C7-0076 -0.036766426 0.009614802 30.17234 0.28124 164 85 52 286
C7-0077 -0.034076685 -0.013206461 30.17234 0.28124 165 85 52 286
C7-0078 -0.033910509 0.002919903 30.17234 0.28124 166 85 52 286
C7-0079 -0.041679478 0.013290399 30.17234 0.28124 167 85 52 286
C7-0080 -0.04778201 0.010651129 30.1998 0.31706 168 85 54 284
C7-0081 -0.028627245 0.018840898 30.1998 0.31706 169 85 54 284
C7-0082 -0.038784417 0.014223931 30.1998 0.31706 170 85 54 284
C7-0084 -0.021574702 0.013588945 30.11941 0.25197 171 85 50 281
C7-0085 -0.02994774 0.016564072 30.11941 0.25197 172 85 50 281
C7-0086 -0.026157213 0.002603835 30.11941 0.25197 173 85 50 281
C7-0087 -0.010118173 0.007463704 30.11941 0.25197 174 85 50 281
C7-0117 -0.020182166 0.005647375 30.11026 0.27011 175 86 50 277
C7-0118 -0.026975817 0.017760055 30.11026 0.27011 176 86 50 277
C7-0119 -0.041532279 0.012420295 30.11026 0.27011 177 86 50 277
C7-0120 -0.038490327 0.007962358 30.11026 0.27011 178 86 50 277
C7-0122 -0.045603549 0.023072397 30.54278 0.66433 179 83 63 259
C7-0123 -0.02262477 0.009008874 30.54278 0.66433 180 83 63 259
C7-0124 -0.047504386 -0.032540251 30.54278 0.66433 181 83 63 259
C7-0125 -0.036926446 -0.012559999 30.58295 0.66747 182 85 64 262
C7-0126 -0.044596136 -0.032937737 30.58295 0.66747 183 85 64 262
C7-0127 -0.030858755 -0.004303198 30.58295 0.66747 184 85 64 262
C7-0128 -0.037800385 -0.014460613 30.58295 0.66747 185 85 64 262
C7-0129 -0.04230956 -0.026839986 30.58452 0.65922 186 84 64 262
C7-0130 -0.033692729 0.008938394 30.58452 0.65922 187 84 64 262
C7-0131 -0.029669941 0.007055946 30.58452 0.65922 188 84 64 262
C7-0132 -0.045789676 -0.030773755 30.58452 0.65922 189 84 64 262
C8-0133 -0.036201397 0.018614868 30.71066 -0.37943 190 85 26 261
C8-0134 -0.054218857 0.019960063 30.71066 -0.37943 191 85 26 261
C8-0135 -0.037168844 0.017669654 30.71066 -0.37943 192 85 26 261
C8-0136 -0.04835084 0.016808542 30.71066 -0.37943 193 85 26 261
C8-0138 -0.058425 0.016782238 30.71875 -0.37473 194 85 25 261
C8-0139 -0.047890599 0.009912577 30.71875 -0.37473 195 85 25 261
C8-0140 -0.04191234 0.021253094 30.71875 -0.37473 196 85 25 261
C8-0157 -0.033292846 0.002542673 30.48351 -0.1463 197 87 38 261
C8-0158 -0.03339557 -0.002878086 30.48351 -0.1463 198 87 38 261
C8-0159 -0.028254381 0.008597977 30.48351 -0.1463 199 87 38 261
C8-0160 -0.042632208 -0.003927947 30.48351 -0.1463 200 87 38 261
C8-0161 -0.044919038 0.003263881 30.52737 -0.14333 201 87 36 263
C8-0162 -0.048345708 -0.028332807 30.52737 -0.14333 202 87 36 263
C8-0163 -0.044618137 0.013911675 30.52737 -0.14333 203 87 36 263
C8-0164 -0.047176631 -0.00835174 30.52737 -0.14333 204 87 36 263
C8-0166 -0.048095286 -0.018563909 30.52045 -0.16311 205 86 36 262
C8-0167 -0.05316622 -0.016599734 30.52045 -0.16311 206 86 36 262
C8-0168 -0.046832564 -0.007051372 30.52045 -0.16311 207 86 36 262
C9-0142 -0.04429961 0.007150671 30.65423 -0.53971 208 85 29 258
C9-0143 -0.044840905 0.012334693 30.65423 -0.53971 209 85 29 258
C9-0144 -0.048841735 0.020181289 30.65423 -0.53971 210 85 29 258
C9-0145 -0.051891011 0.018163708 30.62749 -0.5269 211 86 28 262
C9-0146 -0.046533914 0.007318637 30.62749 -0.5269 212 86 28 262
C9-0148 -0.053608878 0.011507425 30.62749 -0.5269 213 86 28 262
C9-0149 -0.050176536 0.025343335 30.60934 -0.58392 214 85 29 261
C9-0150 -0.052115773 0.013003123 30.60934 -0.58392 215 85 29 261
C9-0151 -0.050499333 0.019318172 30.60934 -0.58392 216 85 29 261
C9-0153 -0.052753701 0.018174094 30.6126 -0.60527 217 85 30 260
C9-0154 -0.055772139 0.019522916 30.6126 -0.60527 218 85 30 260
C9-0155 -0.048929559 0.017722143 30.6126 -0.60527 219 85 30 260
C9-0156 -0.049257995 0.014744691 30.6126 -0.60527 220 85 30 260
D2-0359 0.028281313 -0.001483366 31.12822 3.53858 221 75 70 288
D2-0360 0.03243812 0.003700212 31.12822 3.53858 222 75 70 288
D2-0361 0.02955804 -0.000157293 31.12822 3.53858 223 75 70 288
D2-0362 0.027818601 -0.008414311 31.13442 3.56848 224 76 75 290
D2-0363 0.022409978 -0.004397862 31.13442 3.56848 225 76 75 290
D2-0364 0.025664972 0.003151392 31.13442 3.56848 226 76 75 290
D2-0365 0.030649 -0.00236649 31.13442 3.56848 227 76 75 290
D2-0366 0.028481575 0.000836406 31.24368 3.56239 228 74 72 294
D2-0367 0.030024447 0.010082212 31.24368 3.56239 229 74 72 294
D2-0368 0.032053627 -0.001906119 31.24368 3.56239 230 74 72 294
D2-0369 0.030712986 0.000756011 31.24368 3.56239 231 74 72 294
D2-0370 0.030108074 0.00208345 31.2012 3.58022 232 75 71 291
D2-0372 0.033482019 0.003488673 31.2012 3.58022 233 75 71 291
D2-0373 0.029850334 0.007149505 31.2012 3.58022 234 75 71 291
D3-0374 0.032817056 -0.002766523 30.96025 3.01263 235 76 143 279
D3-0375 0.036032857 0.006089864 30.96025 3.01263 236 76 143 279
D3-0376 0.033837994 0.00240681 30.96025 3.01263 237 76 143 279
D3-0377 0.033295184 0.001217897 30.96025 3.01263 238 76 143 279
D3-0378 0.031716162 -0.001413873 30.96025 3.01263 239 76 143 279
D3-0379 0.033963581 0.003562786 30.96025 3.01263 240 76 143 279
D3-0380 0.030203092 0.003363078 30.96025 3.01263 241 76 143 279
D3-0383 0.027487302 -0.00119806 31.0507 3.0253 242 73 114 280
D3-0384 0.028569434 0.003735689 31.0507 3.0253 243 73 114 280
D3-0385 0.027468514 0.008216282 31.0507 3.0253 244 73 114 280
D3-0387 0.035879025 0.002050324 31.10044 3.02994 245 72 107 279
D3-0388 0.031955163 0.005349075 31.10044 3.02994 246 72 107 279
D3-0389 0.031600066 0.004824134 31.10044 3.02994 247 72 107 279
D4-0406 0.026897866 0.006099192 31.12947 2.51492 248 71 106 264
D4-0407 0.022624506 0.004627436 31.12947 2.51492 249 71 106 264
D4-0408 0.026721802 0.00534885 31.12947 2.51492 250 71 106 264
D4-0409 0.030376581 -0.000703137 31.12947 2.51492 251 71 106 264
D4-0410 0.02940324 0.004256983 31.1379 2.54497 252 71 105 266
D4-0411 0.025631415 0.004952044 31.1379 2.54497 253 71 105 266
D4-0413 0.021297625 -0.000700241 31.1379 2.54497 254 71 105 266
D4-0414 0.026520098 0.001852954 31.07799 2.47911 255 71 110 260
D4-0415 0.026463246 0.002589414 31.07799 2.47911 256 71 110 260
D4-0417 0.026061536 0.000240104 31.07799 2.47911 257 71 110 260
D5-0686 -0.043662387 0.015138442 31.31653 1.70078 258 82 85 288
D5-0687 -0.041686789 0.009642695 31.31653 1.70078 259 82 85 288
D5-0689 -0.041961842 0.012918504 31.31653 1.70078 260 82 85 288
D5-0690 -0.057410573 0.017465336 31.31653 1.70078 261 82 85 288
D5-0691 -0.039488894 0.011682224 31.30803 1.61455 262 81 90 281
D5-0692 -0.039442576 0.014757939 31.30803 1.61455 263 81 90 281
D5-0694 -0.043092189 0.018866372 31.30803 1.61455 264 81 90 281
D5-0695 -0.050927528 0.016523584 31.30803 1.61455 265 81 90 281
D6-0696 -0.021552162 0.014554712 31.34532 0.75372 266 81 67 269
D6-0697 -0.055304652 0.02408022 31.34532 0.75372 267 81 67 269
D6-0698 -0.05709829 0.019906189 31.34532 0.75372 268 81 67 269
D6-0699 -0.045267997 0.018219776 31.34532 0.75372 269 81 67 269
D6-0702 -0.04812344 0.015664003 31.30129 0.97391 270 81 74 272
D6-0703 -0.053651613 0.007548284 31.30129 0.97391 271 81 74 272
D6-0704 -0.04817642 0.021419664 31.30129 0.97391 272 81 74 272
D6-0705 -0.042715437 0.018160928 31.30129 0.97391 273 81 74 272
D6-0707 0.00235837 -0.18295822 31.23101 1.00349 274 81 74 275
E2-0334 0.031210219 0.006394789 31.80721 3.37071 275 73 135 305
E2-0335 0.030219416 -1.54E-05 31.80721 3.37071 276 73 135 305
E2-0336 0.031160572 0.005453673 31.80721 3.37071 277 73 135 305
E2-0338 0.030824578 0.007468243 31.87626 3.358338 278 74 139 309
E2-0339 0.031056026 0.007787509 31.87626 3.358338 279 74 139 309
E2-0340 0.029527508 -0.002667391 31.87626 3.358338 280 74 139 309
E2-0341 0.03333922 0.002084819 31.87626 3.358338 281 74 139 309
E3-0343 0.027859033 0.007956015 31.78031 3.21591 282 72 130 294
E3-0344 0.029683659 0.005135972 31.78031 3.21591 283 72 130 294
E3-0345 0.027952442 0.004900826 31.78031 3.21591 284 72 130 294
E3-0347 0.025709717 0.008193453 31.684 3.14992 285 72 119 286
E3-0348 0.028354661 0.008806736 31.684 3.14992 286 72 119 286
E3-0349 0.027747964 0.006938853 31.684 3.14992 287 72 119 286
E3-0351 0.025049025 0.008317721 31.73258 3.14143 288 72 123 286
E3-0354 0.027931526 0.00703094 31.7562 3.16741 289 73 126 290
E3-0355 0.031088489 0.006688648 31.7562 3.16741 290 73 126 290
E3-0356 0.029180567 0.005021668 31.7562 3.16741 291 73 126 290
E4-0390 0.024699921 0.005060425 31.49471 2.46127 292 64 87 265
E4-0392 0.027700257 0.005487277 31.49471 2.46127 293 64 87 265
E4-0393 0.034362705 0.0091476 31.49471 2.46127 294 64 87 265
E4-0394 0.025936938 0.005355948 31.45993 2.48431 295 64 89 260
E4-0395 0.025834681 0.008835704 31.45993 2.48431 296 64 89 260
E4-0396 0.027375654 0.011165559 31.45993 2.48431 297 64 89 260
E4-0397 0.029814368 0.006667197 31.45993 2.48431 298 64 89 260
E4-0398 0.030770123 0.007248369 31.45218 2.50504 299 63 88 258
E4-0399 0.026873139 0.011057787 31.45218 2.50504 300 63 88 258
E4-0400 0.025839578 0.00746143 31.45218 2.50504 301 63 88 258
E4-0402 0.03356596 -0.000701903 31.49154 2.4649 302 65 88 264
E4-0403 0.023252368 0.00525129 31.49154 2.4649 303 65 88 264
E4-0404 0.024736796 0.003969722 31.49154 2.4649 304 65 88 264
E4-0405 0.026456959 0.001321045 31.49154 2.4649 305 65 88 264
E5-0666 -0.032020154 0.014174977 31.8742 1.63416 306 81 87 286
E5-0668 -0.019012322 -0.019930541 31.8742 1.63416 307 81 87 286
E5-0669 -0.000395672 0.004393194 31.8742 1.63416 308 81 87 286
E5-0670 -0.032295545 0.016723933 31.8742 1.63416 309 81 87 286
E5-0671 -0.03746127 -0.001589891 31.77569 1.68576 310 81 94 287
E5-0672 -0.03352963 0.015554718 31.77569 1.68576 311 81 94 287
E5-0673 -0.015489649 0.014651045 31.77569 1.68576 312 81 94 287
E5-0674 -0.030131341 0.008826644 31.77569 1.68576 313 81 94 287
E5-0675 -0.014109831 0.012955083 31.77569 1.68576 314 81 94 287
E5-0676 -0.006636031 0.008144668 31.79751 1.66295 315 81 91 287
E5-0680 -0.025952655 -0.017786325 31.79751 1.66295 316 81 91 287
E5-0683 -0.004340621 -0.010446552 31.70617 1.65583 317 81 100 284
E6-0716 -0.008744508 -0.06146266 31.83417 0.89346 318 82 70 281
E6-0717 0.012425335 -0.159061179 31.83417 0.89346 319 82 70 281
E6-0718 -0.00505241 -0.2185188 31.83417 0.89346 320 82 70 281
E6-0719 0.00452941 -0.146654654 31.83417 0.89346 321 82 70 281
E6-0721 0.006721156 -0.064813344 31.74691 0.80434 322 81 68 278
E6-0722 0.007780468 -0.160648587 31.74691 0.80434 323 81 68 278
E6-0723 -0.010485846 -0.022912627 31.74691 0.80434 324 81 68 278
E6-0725 0.024399891 -0.021229755 31.74691 0.80434 325 81 68 278
E6-0736 -0.051615356 0.014377932 31.71469 0.96348 326 82 74 277
E6-0737 -0.049115568 0.013874444 31.71469 0.96348 327 82 74 277
E6-0738 -0.051965689 0.01769378 31.71469 0.96348 328 82 74 277
E6-0739 -0.049662906 0.013351731 31.71469 0.96348 329 82 74 277
E6-0740 -0.052269101 0.019308299 31.71469 0.96348 330 82 74 277
E6-0741 -0.047337155 0.013858282 31.54386 1.04473 331 81 73 282
E6-0742 -0.029744889 0.013721129 31.54386 1.04473 332 81 73 282
E6-0744 -0.026386303 0.021616781 31.54386 1.04473 333 81 73 282
E6-0745 -0.04984978 -0.009911928 31.54386 1.04473 334 81 73 282
E7-0766 -0.012881818 0.009104834 31.37542 0.56042 335 81 56 257
E7-0767 -0.035898565 0.012801467 31.37542 0.56042 336 81 56 257
E7-0768 -0.02440164 0.008769123 31.37542 0.56042 337 81 56 257
E7-0769 -0.030403182 0.008484764 31.37542 0.56042 338 81 56 257
E7-0770 -0.026455366 0.012989162 31.37542 0.56042 339 81 56 257
E7-0771 -0.031215227 0.022766969 31.90779 0.39083 340 83 47 273
E7-0773 -0.032702584 0.012858362 31.90779 0.39083 341 83 47 273
E7-0774 -0.044064549 0.011475901 31.90779 0.39083 342 83 47 273
E7-0775 -0.047564467 0.015416907 31.90779 0.39083 343 83 47 273
E7-0777 -0.042572889 0.018891603 31.46853 0.50165 344 82 50 268
E7-0778 -0.056169009 -0.029034897 31.46853 0.50165 345 82 50 268
E7-0779 -0.039973555 0.022591749 31.46853 0.50165 346 82 50 268
E7-0784 -0.042033866 0.017203251 31.89656 0.37013 347 82 47 273
E8-0189 0.01224616 0.001075866 31.57072 -0.10603 348 81 25 269
E8-0190 -0.011016438 0.002413198 31.57072 -0.10603 349 81 25 269
E8-0191 -0.034962242 -0.005489298 31.57072 -0.10603 350 81 25 269
E8-0192 -0.02260226 0.001814987 31.57072 -0.10603 351 81 25 269
E8-0194 -0.023928848 -0.009157082 31.56244 -0.10428 352 81 25 269
E8-0195 -0.031478308 0.017183164 31.56244 -0.10428 353 81 25 269
E8-0196 -0.040692283 -0.042168528 31.56244 -0.10428 354 81 25 269
E8-0197 -0.028082185 -0.005329499 31.5632 -0.1178 355 81 25 270
E8-0198 -0.011230292 0.007602722 31.5632 -0.1178 356 81 25 270
E8-0199 -0.032008394 0.009481736 31.5632 -0.1178 357 81 25 270
E8-0200 -0.03864159 -0.007630916 31.5632 -0.1178 358 81 25 270
E8-0201 -0.011528748 -0.00226247 31.55935 -0.14461 359 81 24 271
E8-0202 -0.032928037 0.013315229 31.55935 -0.14461 360 81 24 271
E8-0203 -0.025342095 -0.019149552 31.55935 -0.14461 361 81 24 271
E8-0206 -0.011471297 0.022194909 31.5892 -0.144 362 81 25 268
E8-0207 -0.005567605 -0.010978124 31.5892 -0.144 363 81 25 268
E8-0208 -0.020060372 -0.012393654 31.5892 -0.144 364 81 25 268
F2-0306 0.027620306 0.007596883 32.00795 3.46875 365 74 138 321
F2-0307 0.027275685 0.003405933 32.00795 3.46875 366 74 138 321
F2-0308 0.029116154 -0.00383729 32.00795 3.46875 367 74 138 321
F2-0309 0.034041105 0.00225073 32.00795 3.46875 368 74 138 321
F2-0310 0.031860953 0.00167322 32.06627 3.32345 369 75 145 311
F2-0311 0.033304937 0.008671845 32.06627 3.32345 370 75 145 311
F2-0312 0.029355127 0.006033883 32.06627 3.32345 371 75 145 311
F2-0313 0.029939502 0.001893669 32.06627 3.32345 372 75 145 311
F2-0314 0.026349244 -0.000184852 32.12154 3.26139 373 75 150 306
F2-0316 0.030883605 0.00346712 32.12154 3.26139 374 75 150 306
F2-0317 0.028289972 0.004245368 32.12154 3.26139 375 75 150 306
F2-0318 0.025645283 0.006542473 32.15096 3.47374 376 75 150 315
